Cinput1	 Cinput2	 K0	 v0	 ero_rate	 depo_rate1	 depo_rate2	 RRMSE
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000600	 -0.002000	 4.533985
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000600	 -0.001500	 4.676547
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000600	 -0.001000	 4.922020
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000600	 -0.000500	 5.266972
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.001000	 -0.003000	 4.529589
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.001000	 -0.002500	 4.484157
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.001000	 -0.002000	 4.527132
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.001000	 -0.001500	 4.669904
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.001000	 -0.001000	 4.915709
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.001000	 -0.000500	 5.261074
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.000800	 -0.003000	 4.512043
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.000800	 -0.002500	 4.466433
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.000800	 -0.002000	 4.509577
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.000800	 -0.001500	 4.652888
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.000800	 -0.001000	 4.899546
14.000000	 19.000000	 0.000500	 0.030000	 0.000500	 -0.000800	 -0.000500	 5.245976
